[VEHICLE:rr] 2025-11-07T00:36:04.9686397+01:00 created
[VEHICLE:rr] 2025-11-07T00:37:04.9917627+01:00 ⚠️ Battery low (10%). rr going to Default_Station_3 for charging...
[VEHICLE:rr] 2025-11-07T00:37:04.9947523+01:00 Battery drop after auto-distribution: 20% → 10%
[VEHICLE:rr] 2025-11-07T00:37:20.8866643+01:00 Battery drop after auto-distribution: 10% → 0%
[VEHICLE:rr] 2025-11-07T00:37:24.9989712+01:00 🔌 rr charging at Default_Station_3... Battery now 5%
[VEHICLE:rr] 2025-11-07T00:37:45.0025526+01:00 🔌 rr charging at Default_Station_3... Battery now 10%
[VEHICLE:rr] 2025-11-07T00:38:05.0100583+01:00 🔌 rr charging at Default_Station_3... Battery now 15%
[VEHICLE:rr] 2025-11-07T00:38:25.0270228+01:00 🔌 rr charging at Default_Station_3... Battery now 20%
[VEHICLE:rr] 2025-11-07T00:38:45.0363986+01:00 🔌 rr charging at Default_Station_3... Battery now 25%
[VEHICLE:rr] 2025-11-07T00:39:05.048018+01:00 🔌 rr charging at Default_Station_3... Battery now 30%
[VEHICLE:rr] 2025-11-07T00:39:25.0630323+01:00 🔌 rr charging at Default_Station_3... Battery now 35%
[VEHICLE:rr] 2025-11-07T00:39:45.0719436+01:00 🔌 rr charging at Default_Station_3... Battery now 40%
[VEHICLE:rr] 2025-11-07T00:40:05.076724+01:00 🔌 rr charging at Default_Station_3... Battery now 45%
[VEHICLE:rr] 2025-11-07T00:40:25.092427+01:00 🔌 rr charging at Default_Station_3... Battery now 50%
[VEHICLE:rr] 2025-11-07T00:40:45.1088854+01:00 🔌 rr charging at Default_Station_3... Battery now 55%
